date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:53:44	82788/82788	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202024%2002:48:26%20GMT	https://kelliecastle.blogspot.com/2018/04/kellies-castle.html	C:/My%20Web%20Sites/Kellie's%20Castle%20Blogspot/kelliecastle.blogspot.com/2018/04/kellies-castle.html	(from )
05:53:46	127/127	---MCZ	200	added ('OK')	text/plain	date:Wed,%2006%20Nov%202024%2002:48:26%20GMT	https://kelliecastle.blogspot.com/robots.txt		(from )
05:53:46	35960/35960	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Dec%202024%2003:49:37%20GMT	https://www.blogger.com/static/v1/widgets/3566091532-css_bundle_v2.css	C:/My%20Web%20Sites/Kellie's%20Castle%20Blogspot/www.blogger.com/static/v1/widgets/3566091532-css_bundle_v2.css	(from https://kelliecastle.blogspot.com/2018/04/kellies-castle.html)
05:53:53	77715/77715	---M--	200	added ('OK')	image/jpeg	etag:%22v16f%22	http://4.bp.blogspot.com/-ga_VSHBlktY/Ws753n8dtNI/AAAAAAAAAW4/ULD5f0nDluoQn1Xvi7TH0QPb8Nns9ff4wCK4BGAYYCw/s0/background+kellie.jpg	C:/My%20Web%20Sites/Kellie's%20Castle%20Blogspot/4.bp.blogspot.com/-ga_VSHBlktY/Ws753n8dtNI/AAAAAAAAAW4/ULD5f0nDluoQn1Xvi7TH0QPb8Nns9ff4wCK4BGAYYCw/s0/background%20kellie.jpg	(from https://kelliecastle.blogspot.com/2018/04/kellies-castle.html)
05:53:53	87708/87708	---M--	200	added ('OK')	image/jpeg	etag:%22v178%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjwFQ-Nxuv_7GoKFDIWkpXXJztg_mKPqemI-Kqa7OQ8Phyphenhyphen3-mn5ddSW5kEi5szr075Aul7QDNNuCzAWeLvRnj5xUOVc_y12bUWRf4bS1YPuaOeaMTlxL3HXZI968_nwB6VfBK3IZmAIcmQ/s640/kelliecastlewallpaper2.jpg	C:/My%20Web%20Sites/Kellie's%20Castle%20Blogspot/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjwFQ-Nxuv_7GoKFDIWkpXXJztg_mKPqemI-Kqa7OQ/s640/kelliecastlewallpaper2.jpg	(from https://kelliecastle.blogspot.com/2018/04/kellies-castle.html)
05:53:53	84/84	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Dec%202024%2012:58:05%20GMT	https://resources.blogblog.com/blogblog/data/1kt/travel/bg_black_70.png	C:/My%20Web%20Sites/Kellie's%20Castle%20Blogspot/resources.blogblog.com/blogblog/data/1kt/travel/bg_black_70.png	(from https://kelliecastle.blogspot.com/2018/04/kellies-castle.html)
05:53:53	83/83	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2015:51:55%20GMT	https://resources.blogblog.com/blogblog/data/1kt/travel/bg_black_50.png	C:/My%20Web%20Sites/Kellie's%20Castle%20Blogspot/resources.blogblog.com/blogblog/data/1kt/travel/bg_black_50.png	(from https://kelliecastle.blogspot.com/2018/04/kellies-castle.html)
05:53:54	1/1	---MC-	200	added ('OK')	text/css	date:Mon,%2009%20Dec%202024%2021:53:54%20GMT	https://www.blogger.com/dyn-css/authorization.css?targetBlogID=8696586878066546309&zx=33a54fd3-a45b-45e8-906c-f19b08496a2b	C:/My%20Web%20Sites/Kellie's%20Castle%20Blogspot/www.blogger.com/dyn-css/authorizationc03c.css	(from https://kelliecastle.blogspot.com/2018/04/kellies-castle.html)
05:53:54	64283/64283	---M--	200	added ('OK')	text/javascript	etag:%2227a62a450d9bd00c%22	https://apis.google.com/js/platform.js	C:/My%20Web%20Sites/Kellie's%20Castle%20Blogspot/apis.google.com/js/platform.js	(from https://kelliecastle.blogspot.com/2018/04/kellies-castle.html)
05:53:56	47/47	---M--	200	added ('OK')	text/javascript	etag:13036835877489095579	http://pagead2.googlesyndication.com/pagead/js/google_top_exp.js	C:/My%20Web%20Sites/Kellie's%20Castle%20Blogspot/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://kelliecastle.blogspot.com/2018/04/kellies-castle.html)
