date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:46:11	466/466	---MCZ	200	added ('OK')	text/plain	date:Mon,%2009%20Dec%202024%2021:46:02%20GMT	https://www.freemalaysiatoday.com/robots.txt		(from )
05:46:12	158391/158391	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Dec%202024%2021:46:11%20GMT	https://www.freemalaysiatoday.com/category/top-lifestyle/2022/11/04/kellies-castle-the-story-behind-its-history-and-hauntings/	C:/My%20Web%20Sites/Free%20Malaysia%20Today/www.freemalaysiatoday.com/category/top-lifestyle/2022/11/04/kellies-castle-the-story-behind-its-history-and-hauntings/index.html	(from )
05:46:12	27179/27179	---MCZ	200	added ('OK')	text/css	etag:W/%226a2b-192b3562808%22	https://www.freemalaysiatoday.com/_next/static/css/8c77db0333b89ab6.css	C:/My%20Web%20Sites/Free%20Malaysia%20Today/www.freemalaysiatoday.com/_next/static/css/8c77db0333b89ab6.css	(from https://www.freemalaysiatoday.com/category/top-lifestyle/2022/11/04/kellies-castle-the-story-behind-its-history-and-hauntings/)
05:46:12	46805/46805	---MCZ	200	added ('OK')	text/css	etag:W/%22b6d5-192b3562808%22	https://www.freemalaysiatoday.com/_next/static/css/b758eb84c89f24df.css	C:/My%20Web%20Sites/Free%20Malaysia%20Today/www.freemalaysiatoday.com/_next/static/css/b758eb84c89f24df.css	(from https://www.freemalaysiatoday.com/category/top-lifestyle/2022/11/04/kellies-castle-the-story-behind-its-history-and-hauntings/)
05:46:12	17651/17651	---MCZ	200	added ('OK')	text/css	etag:W/%2244f3-192b3562808%22	https://www.freemalaysiatoday.com/_next/static/css/05153b337e4d7678.css	C:/My%20Web%20Sites/Free%20Malaysia%20Today/www.freemalaysiatoday.com/_next/static/css/05153b337e4d7678.css	(from https://www.freemalaysiatoday.com/category/top-lifestyle/2022/11/04/kellies-castle-the-story-behind-its-history-and-hauntings/)
05:46:12	3771/3771	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ebb-192b3562808%22	https://www.freemalaysiatoday.com/_next/static/chunks/webpack-c5aaa10c6f0db55c.js	C:/My%20Web%20Sites/Free%20Malaysia%20Today/www.freemalaysiatoday.com/_next/static/chunks/webpack-c5aaa10c6f0db55c.js	(from https://www.freemalaysiatoday.com/category/top-lifestyle/2022/11/04/kellies-castle-the-story-behind-its-history-and-hauntings/)
05:46:13	172832/172832	---MCZ	200	added ('OK')	application/javascript	etag:W/%222a320-192b3562808%22	https://www.freemalaysiatoday.com/_next/static/chunks/fd9d1056-b31ad43b7cd3d9b5.js	C:/My%20Web%20Sites/Free%20Malaysia%20Today/www.freemalaysiatoday.com/_next/static/chunks/fd9d1056-b31ad43b7cd3d9b5.js	(from https://www.freemalaysiatoday.com/category/top-lifestyle/2022/11/04/kellies-castle-the-story-behind-its-history-and-hauntings/)
05:46:13	123230/123230	---MCZ	200	added ('OK')	application/javascript	etag:W/%221e15e-192b3562808%22	https://www.freemalaysiatoday.com/_next/static/chunks/7023-560103c0c64d0827.js	C:/My%20Web%20Sites/Free%20Malaysia%20Today/www.freemalaysiatoday.com/_next/static/chunks/7023-560103c0c64d0827.js	(from https://www.freemalaysiatoday.com/category/top-lifestyle/2022/11/04/kellies-castle-the-story-behind-its-history-and-hauntings/)
05:46:13	466/466	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d2-192b3562808%22	https://www.freemalaysiatoday.com/_next/static/chunks/main-app-2a5d4c19ce891f66.js	C:/My%20Web%20Sites/Free%20Malaysia%20Today/www.freemalaysiatoday.com/_next/static/chunks/main-app-2a5d4c19ce891f66.js	(from https://www.freemalaysiatoday.com/category/top-lifestyle/2022/11/04/kellies-castle-the-story-behind-its-history-and-hauntings/)
05:46:13	2799/2799	---MCZ	200	added ('OK')	application/javascript	etag:W/%22aef-192b3562808%22	https://www.freemalaysiatoday.com/_next/static/chunks/59650de3-8d310732816e3d96.js	C:/My%20Web%20Sites/Free%20Malaysia%20Today/www.freemalaysiatoday.com/_next/static/chunks/59650de3-8d310732816e3d96.js	(from https://www.freemalaysiatoday.com/category/top-lifestyle/2022/11/04/kellies-castle-the-story-behind-its-history-and-hauntings/)
